,City,Country,Date,Latitude,Longitude,Max Temp,Cloudiness,Humidity,Wind Speed
0,Sao Filipe,CV,1571857238,14.9,-24.5,75.22,11,78,17.9
1,Albany,US,1571857238,42.65,-73.75,64.0,75,42,13.87
2,Tiksi,RU,1571857239,71.64,128.87,1.4,1,88,6.24
3,Ushuaia,AR,1571857240,-54.81,-68.31,59.0,75,38,20.8
4,Serafimovich,RU,1571857241,49.58,42.73,53.01,94,90,1.99
5,Hobart,AU,1571857204,-42.88,147.33,51.01,75,93,8.05
6,Bluff,AU,1571857242,-23.58,149.07,61.84,0,82,9.31
7,Flinders,AU,1571857242,-34.58,150.85,64.0,0,100,2.24
8,Yulara,AU,1571857243,-25.24,130.99,64.4,34,17,3.36
9,Kodiak,US,1571857243,39.95,-94.76,66.2,1,39,19.46
10,Merauke,ID,1571857244,-8.49,140.4,76.82,56,80,8.23
11,Pervomaysk,RU,1571857244,54.87,43.81,49.68,100,79,7.05
12,Punta Arenas,CL,1571857245,-53.16,-70.91,60.8,75,44,16.11
13,Chuy,UY,1571857245,-33.69,-53.46,67.23,9,62,12.84
14,Katsuura,JP,1571857246,33.93,134.5,66.2,75,88,5.82
15,Rikitea,PF,1571857247,-23.12,-134.97,70.57,100,90,22.77
16,Nikel,NO,1571857247,69.41,30.21,30.2,75,92,10.29
17,Taltal,CL,1571857248,-25.41,-70.49,61.38,0,65,6.64
18,Anadyr,RU,1571857248,64.73,177.51,12.2,40,85,8.95
19,Labuhan,ID,1571857249,-2.54,115.51,69.76,79,69,1.79
20,Yellowknife,CA,1571857250,62.45,-114.38,28.99,90,92,3.36
21,Narsaq,GL,1571857250,60.91,-46.05,35.6,40,74,4.7
22,Butaritari,KI,1571857251,3.07,172.79,82.96,16,71,4.81
23,Si Satchanalai,TH,1571857252,17.52,99.76,87.01,81,61,2.57
24,Puerto Ayora,EC,1571857252,-0.74,-90.35,78.8,40,57,20.8
25,Mecca,SA,1571857202,21.43,39.83,83.07,0,55,5.99
26,Niquelandia,BR,1571857254,-14.47,-48.46,78.19,93,72,4.14
27,Nagas,PH,1571857254,13.11,123.29,77.07,0,88,5.59
28,Abu Zabad,SD,1571857255,12.35,29.25,82.04,34,57,5.37
29,Faanui,PF,1571857256,-16.48,-151.75,79.74,49,69,8.19
30,Karakol,KG,1571857257,42.49,78.39,34.03,0,37,7.34
31,Atuona,PF,1571857258,-9.8,-139.03,79.21,2,68,6.51
32,Mandalgovi,MN,1571857259,45.76,106.27,21.09,100,51,7.81
33,Tuktoyaktuk,CA,1571857259,69.44,-133.03,17.6,90,85,3.36
34,Hazaribag,IN,1571857260,23.98,85.35,69.01,100,65,4.0
35,Quelimane,MZ,1571857261,-17.88,36.89,80.6,31,83,17.22
36,Mataram,ID,1571857262,-5.32,105.06,71.02,100,98,2.59
37,Jackville,CI,1571857263,5.21,-4.42,80.6,40,88,12.75
